dt,euler_maruyama,midpoint,strong_taylor,splitting,stationary
0.001,1.528691E-05,1.666636E-05,1.396209E-05,1.666656E-05,1.67E-05
0.002,9.681952E-06,1.105945E-05,1.275226E-05,1.106069E-05,1.11E-05
0.005,9.460736E-06,6.74332E-06,7.304516E-06,6.75594E-06,6.74E-06
0.01,2.192943E-05,5.915592E-06,5.996592E-06,5.960052E-06,5.92E-06
0.02,4.96475E-05,4.589572E-06,4.473164E-06,4.666752E-06,4.59E-06
0.05,0.0001290299,3.419192E-06,3.749328E-06,3.924052E-06,3.40E-06
0.1,0.000260697,3.314752E-06,6.705612E-06,8.536416E-06,3.30E-06
0.2,0.000531303,7.7462E-06,2.466406E-05,3.267148E-05,7.56E-06
0.5,0.001406105,4.058496E-05,0.0001475424,0.0001968205,3.83E-05
1,0.00303864,0.0001293044,0.0003579402,0.0007274986,1.12E-04
