dt,PotEng(SINR-L1),rmse[PotEng](SINR-L1),PotEng(SINR-L2),rmse[PotEng](SINR-L2),PotEng(SINR-L4),rmse[PotEng](SINR-L4),PotEng(NHL-L1),rmse[PotEng](NHL-L1),PotEng(NHL-L2),rmse[PotEng](NHL-L2),PotEng(NHL-L4),rmse[PotEng](NHL-L4),PotEng(MOD-L1),rmse[PotEng](MOD-L1),PotEng(MOD-L2),rmse[PotEng](MOD-L2),PotEng(MOD-L4),rmse[PotEng](MOD-L4),PotEng(BAOAB-L1),rmse[PotEng](BAOAB-L1),PotEng(BAOAB-L2),rmse[PotEng](BAOAB-L2),PotEng(BAOAB-L4),rmse[PotEng](BAOAB-L4),PotEng(MODP-L1),rmse[PotEng](MODP-L1),PotEng(MODP-L2),rmse[PotEng](MODP-L2),PotEng(MODP-L4),rmse[PotEng](MODP-L4),PotEng(MOD-L1.3),rmse[PotEng](MOD-L1.3)
0.5,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286,-21938.1476549988,6.84840643085286
1,-21949.3174315114,4.75641664915506,-21939.4877953164,4.49437405770122,-21944.2495820251,3.42039572508674,-21946.1421287271,6.01298530459556,-21956.1150804597,4.80480791842965,-21951.1089549544,4.96190401274644,-21951.7140624617,4.95384387453003,-21941.1513355903,4.8070486257762,-21943.225675866,4.23890035816318,-21931.4588919968,7.94828845797915,-21927.2138804099,9.08314735294555,-21940.7729863109,8.07596798860995,-21947.4641753969,5.24577113028239,-21943.4906646993,4.70060002619755,-21942.7769424885,4.08094787104417,-21946.194939407,4.12176324102307
3,-21952.9697916757,4.64676208562507,-21921.1671364726,3.92792141950265,-21886.3517357165,3.58342217475571,-21932.1855464783,4.57313845170959,-21929.4729346806,4.54983616219898,-21934.7445891767,4.19006689188241,-21949.6342447128,5.07887727712252,-21939.7366229575,4.10354485995113,-21933.3103677596,4.83037375722472,-21749.7622282053,7.69381200673911,-21697.3300713695,7.63952707835217,-21668.5921531733,7.69470345415962,-21948.976138248,4.21541602698007,-21949.5826320758,4.66048115461031,-21935.2435200682,4.48075532310954,-21953.7806721009,4.43712611727329
6,-21952.6140275602,4.81526538550512,-21917.5904619604,3.72392429904094,-21887.9945339579,3.49088469857532,-21932.5472980815,5.09349341670651,-21935.6428445087,4.13640879084165,-21936.0975809258,3.84987441528779,-21964.8333690454,4.58196389118065,-21950.7255674171,4.44305235976121,-21941.0443786238,3.82035664302223,-21768.4780346781,7.64887054104926,-21713.1342703118,7.90564605512856,-21665.0035424662,7.42601995602009,-21957.3500207377,4.99573320905754,-21950.9166904175,4.50943076647879,-21940.9890803955,4.32446362189173,-21953.4308279941,4.05236314289425
9,-21952.684130047,4.06253979309575,-21887.3738374218,4.06596995432163,-21828.5684974486,3.66347593199145,-21927.1774695003,4.71213971210846,-21939.9968583962,4.30336763091858,-21933.5544375478,4.4622601403158,-21959.3614171458,4.82124117970327,-21950.100575998,4.49333060168106,-21930.5506799565,4.02807823033312,-21748.435153121,7.58840355627899,-21693.1348637366,8.19043395316226,-21639.7896902719,7.20106882434834,-21956.0795418291,4.60765212064895,-21941.8796688367,4.31714220019518,-21923.3673636638,4.53945215419171,-21956.3909277145,4.7825543181666
15,-21948.8732767685,4.70718068005912,-21914.7224858948,4.0428314353512,-21870.1399192524,3.64813601192223,-21954.1115039031,5.51249973418179,-21954.6561605362,4.70770865572587,-21980.6317517123,4.72125919230964,-21944.4806491996,5.30036544683236,-21963.1247977401,4.98148755561758,-21967.0243286333,3.8579917169367,-21726.1194984334,10.6053821825948,-21695.2211942088,9.44543132044351,-21662.1873937054,9.43715693399437,-21942.0870944218,4.83448882535953,-21959.4454558188,4.91161898697241,-21970.1290942059,4.02052338798782,-21962.4872024868,4.76886864587652
30,-21891.0963085425,4.9139852311552,-21858.6189244984,5.14317501670085,-21602.5691839204,4.02152913301076,-22054.5649361464,6.04980115674896,-22087.1624106412,5.74719116537619,-22157.7154960751,4.68006776998174,-21889.9591145359,4.88312114973803,-22038.0050454004,4.3847985891842,-22073.7302719032,4.75749657722979,-21672.812606096,8.23768205176855,-21655.5670850687,10.5975780197215,-21605.8696837332,7.37421077501158,-21886.9132600943,5.93404726180884,-22038.3083321754,5.62860465767634,-22070.7070152417,4.89874190799584,-21989.497565804,4.69552743323747
45,-21873.607381942,4.89985985275826,-21707.1053379171,4.59603440109097,-21406.8232307634,4.22182803253758,-22097.9076227167,5.63382918762031,-22230.8858868166,5.67959140343189,-22176.783424866,5.12731730948673,-21869.6181637494,4.78549818333992,-22057.1755460554,5.35360753074265,-22103.1885720308,5.01004958916321,-21633.4586981984,7.0424279249757,-21582.5219735746,9.44499688442347,-21546.266975676,7.23557483797173,-21878.7983881438,4.70720701358136,-22057.3041681431,4.48524406612523,-22102.0887345325,5.13906477383836,-21947.2925711859,5.96201103790064
90,-21717.232891287,5.229951799779,-21596.9368202666,5.0835800944105,-21318.9357945422,4.30150536273695,-22169.5664306953,9.22866960711126,-22222.4850900595,5.84425415464854,-22240.813694926,5.48315931120313,-21704.8626750332,6.21308938340985,-22151.9824129431,5.7751299551258,-22207.7233186984,5.66436838087599,-21507.4512252111,9.3615577684782,-21503.176305144,8.55807563301352,-21487.8238669705,7.80663688899017,-21713.4429522426,4.98151629992821,-22160.5393357608,4.93027521858601,-22202.3256457031,4.86637207728652,-21925.1810644351,5.32006606159201
